obcina,enota_nmp,povrsina,st_preb
Majšperk,ZD Ptuj,72.8,4026
Makole,ZD Slovenska Bistrica,36.9,2048
Maribor,ZD Maribor,147.5,113004
Markovci,ZD Ptuj,29.8,4022
Mežica,ZD Ravne na Koroškem,26.4,3567
Miklavž na Dravskem polju,ZD Maribor,12.5,7045
Mislinja,ZD Slovenj Gradec,112.2,4532
Moravske Toplice,ZD Murska Sobota,144.5,5990
Mozirje,ZSDZ NAZARJE,53.5,4401
Murska Sobota,ZD Murska Sobota,64.4,18543
Muta,ZD Radlje ob Dravi,38.8,3402
Nazarje,ZSDZ NAZARJE,43.4,2682
Odranci,ZD Lendava,6.9,1595
Oplotnica,ZD Slovenska Bistrica,33.2,4131
Ormož,ZD Ormož,141.6,11890
Pesnica,ZD Maribor,75.8,7576
Podčetrtek,ZD Šmarje pri Jelšah,60.6,3657
Podlehnik,ZD Ptuj,46.0,1844
Podvelka,ZD Radlje ob Dravi,103.9,2337
Poljčane,ZD Slovenska Bistrica,37.5,4493
Polzela,ZD Žalec,34.0,6386
Prebold,ZD Žalec,40.6,5302
Prevalje,ZD Ravne na Koroškem,58.1,6732
Ptuj,ZD Ptuj,66.7,23509
Puconci,ZD Murska Sobota,107.7,5871
Rače - Fram,ZD Maribor,51.2,7749
Radeče,ZD Radeče,52.0,4146
Radenci,ZD Gornja Radgona,34.1,5056
Radlje ob Dravi,ZD Radlje ob Dravi,93.9,6181
Ravne na Koroškem,ZD Ravne na Koroškem,63.4,11228
Razkrižje,ZD Ljutomer,9.8,1237
Rečica ob Savinji,ZSDZ NAZARJE,30.1,2324
Ribnica na Pohorju,ZD Radlje ob Dravi,59.3,1141
Rogaška Slatina,ZD Šmarje pri Jelšah,71.5,11438
Rogašovci,ZD Murska Sobota,40.1,3125
Rogatec,ZD Šmarje pri Jelšah,39.6,3055
Ruše,ZD Maribor,60.8,7091
Selnica ob Dravi,ZD Maribor,64.5,4513
Sevnica,ZD Sevnica,272.2,17661
Slovenj Gradec,ZD Slovenj Gradec,173.7,16716
