OE ZZZS,OBČINA_IME,ŠT.Prebivalcev,OE ZZZS izpostava,ZD,enota NMP,Površina v km2,
Ljubljana,Ribnica,9634,Ribnica,ZD Ribnica,ZD Ribnica,153.60,1,1,
Novo mesto,Semič,3877,Črnomelj,ZD Črnomelj,ZD Črnomelj,146.70,
Koper,Sežana,13818,Sežana,ZD Sežana,ZD Sežana,217.40,1.30,0.50,1,1,
Ljubljana,Sodražica,2232,Ribnica,ZD Ribnica,ZD Ribnica,49.50,
Novo mesto,Straža,3880,Novo mesto,ZD Novo mesto ,ZD Novo mesto,28.50,
Nova Gorica,Šempeter - Vrtojba,6219,Nova Gorica,ZD Nova Gorica,ZD Nova Gorica,14.90,
Kranj,Šenčur,8818,Kranj,ZD Kranj,ZD Kranj,40.30,
Novo mesto,Šentjernej,7223,Novo mesto,ZD Novo mesto,ZD Novo mesto,96,
Novo mesto,Šentrupert,2943,Trebnje,ZD Trebnje,ZD Trebnje,49.10,
Novo mesto,Škocjan,3413,Novo mesto,ZD Novo mesto,ZD Novo mesto,60.40,
Kranj,Škofja Loka,23535,Škofja Loka,ZD Škofja Loka,ZD Škofja Loka,146,2,0.50,1,1,
Ljubljana,Škofljica,11620,Ljubljana,ZD Ljubljana,RP UKCL,43.30,
Novo mesto,Šmarješke Toplice,3513,Novo mesto,ZD Novo mesto,ZD Novo mesto,34.20,
Ljubljana,Šmartno pri Litiji,5664,Litija,ZD Litija,ZD Litija,94.90,
Nova Gorica,Tolmin,10969,Tolmin,ZD Tolmin,ZD Tolmin,382.30,2,0.70,1,1,
Novo mesto,Trebnje,13407,Trebnje,ZD Trebnje,ZD Trebnje,163.30,1,1,
Ljubljana,Trzin,3899,Domžale,ZD Domžale,ZD Domžale,8.60,
Kranj,Tržič,15031,Tržič,ZD Tržič,OZG Gorenjske,155.40,1.46,1,
Ljubljana,Velike Lašče,4522,Ljubljana,ZD Ribnica,RP UKCL,103.20,
Nova Gorica,Vipava,5764,Ajdovščina,ZD Ajdovščina,ZD Ajdovščina,107.40,
Ljubljana,Vodice,4943,Ljubljana,ZD Ljubljana,RP UKCL,31.40,
Ljubljana,Vrhnika,17654,Vrhnika,ZD Vrhnika,RP UKCL,115.60,1,
Kranj,Železniki,6684,Škofja Loka,ZD Škofja Loka,ZD Škofja Loka,163.70,
Kranj,Žiri,4987,Škofja Loka,ZD Škofja Loka,ZD Škofja Loka,49.20,
Kranj,Žirovnica,4478,Jesenice,ZD Jesenice,ZD Jesenice,42.60,
Novo mesto,Žužemberk,4755,Novo mesto,ZD Novo mesto,ZD Novo mesto,164.30,
Murska Sobota,Apače,3556,Gornja Radgona,ZD Gornja Radgona,ZD Gornja Radgona,53.50,
Murska Sobota,Beltinci,8110,Murska Sobota,ZD Murska Sobota,ZD Murska Sobota,62.20,
Maribor,Benedikt,2661,Lenart,ZD Lenart,ZD Lenart,24.10,
Celje,Bistrica ob Sotli,1370,Šmarje pri Jelšah,ZD Šmarje pri Jelšah,ZD Šmarje pri Jelšah,31.10,
Celje,Braslovče,5669,Žalec,ZD Žalec,ZD Žalec,55,
Krško,Brežice,24346,Brežice,ZD Brežice,ZD Brežice,268.10,
Murska Sobota,Cankova,1759,Murska Sobota,ZD Murska Sobota,ZD Murska Sobota,30.60,
Celje,Celje,48847,Celje,ZD Celje,ZD Celje,94.90,1.50,2,1.50,
Maribor,Cerkvenjak,2135,Lenart,ZD Lenart,ZD Lenart,24.50,
Maribor,Cirkulane,2377,Ptuj,ZD Ptuj,ZD Ptuj,32.10,
Murska Sobota,Črenšovci,3984,Lendava,ZD Lendava,ZD Lendava,33.70,
Ravne na Koroškem,Črna na Koroškem,3219,Ravne na Koroškem,ZD Ravne na Koroškem,Zdravstveno reševalni center Koroške,156,
Maribor,Destrnik,2650,Ptuj,ZD Ptuj,ZD Ptuj,34.40,
Celje,Dobje,948,Šentjur pri Celju,ZD Šentjur,ZD Šentjur,17.50,
Celje,Dobrna,2266,Celje,ZD Celje,ZD Celje,31.70,
Murska Sobota,Dobrovnik/Dobronak,1287,Lendava,ZD Lendava,ZD Lendava,31.10,
Maribor,Dornava,2862,Ptuj,ZD Ptuj,ZD Ptuj,28.40,
Ravne na Koroškem,Dravograd,8849,Ravne na Koroškem,ZD Dravograd,Zdravstveno reševalni center Koroške,105,0.30,1,
Maribor,Duplek,7017,Maribor,ZD Maribor,ZD Maribor,40,
Maribor,Gorišnica,4195,Ptuj,ZD Ptuj,ZD Ptuj,29.10,
Murska Sobota,Gornja Radgona,8466,Gornja Radgona,ZD Gornja Radgona,ZD Gornja Radgona,74.60,1,1,
Ravne na Koroškem,Gornji Grad,2495,Mozirje,ZSDZ NAZARJE,ZSDZ NAZARJE,90.10,
Murska Sobota,Gornji Petrovci,2007,Murska Sobota,ZD Murska Sobota,ZD Murska Sobota,66.80,
Murska Sobota,Grad,2077,Murska Sobota,ZD Murska Sobota,ZD Murska Sobota,37.40,
Maribor,Hajdina,3902,Ptuj,ZD Ptuj,ZD Ptuj,21.80,
Maribor,Hoče - Slivnica,11755,Maribor,ZD Maribor,ZD Maribor,53.70,
Murska Sobota,Hodoš/Hodos,361,Murska Sobota,ZD Murska Sobota,ZD Murska Sobota,18.10,
